"SASKAITOS_METAI","KREDITORIUS","KREDITORIAUS_NR","SUTARTIES_NR","SASKAITOS_DATA","SASKAITOS_NR","DK_DATA","TERMS_DATE","TREMINAS","VALIUTA","INVOICE_TYPE_LOOKUP_CODE","FIN_SALTINIS","PRIEMONE","SAMATA","EKON_KLAS","ASIGNAV_VALDYTOJAS","ASIGN_VALD_APRASAS","EILUTES_SUMA","APMOKETA_SUMA","SKOLOS_SUMA","SKOLOS_SUMA_ES","DEPARTAMENTAS"
"2013","Mano Būstas Vilnius (Naujamiesčio būstas), UAB","121452091","A64-133(3.10.22-UK)","2013-09-30T00:00","NAB 63547","2014-12-31T00:00","2013-09-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",922.21,922.21,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/10","2013-09-30T00:00","NAB 63547 FINAN","2014-12-31T00:00","2013-09-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",258104.2,258104.2,0,,"Administracija EUR"
"2013","Mano Būstas Vilnius (Naujamiesčio būstas), UAB","121452091","30-1948","2013-09-30T00:00","NB13008067","2022-12-30T00:00","2013-09-30T00:00","30 dienų","EUR","STANDARD","01","208040102","8000012","2.2.1.1.1.30.K.","188710061","Savivaldybės administracija",15.14,0,15.14,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-09-30T00:00","ŽN/2013-09","2014-12-31T00:00","2013-09-30T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",20746.3,0,20746.3,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/2","2013-10-31T00:00","GAO 0013838 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",215808.46,215808.46,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/2","2013-10-31T00:00","GAO 0013842 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",90503.25,90503.25,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/3","2013-10-31T00:00","GAO 0013867 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",202127.15,202127.15,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/3","2013-10-31T00:00","GAO 0013868 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",249674.44,249674.44,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/2","2013-10-31T00:00","GAO 0013869 FINAN","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",253676.39,253676.39,0,,"Administracija EUR"
"2013","Vilniaus apšvietimas, UAB","120125820","A72-413/15(3.1.36-AD4)","2013-10-31T00:00","GAT 04820","2014-12-31T00:00","2013-10-31T00:00","90 dienų","EUR","STANDARD","01","14010112","3000720","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",127780.35,127780.35,0,,"Administracija EUR"
